soni	13	8	5	14	15	17	10	6	26	19
opinion	3	11	8	17	17	4	12	8	17	20
regret	10	11	5	7	23	10	11	5	8	23
detail	3	6	12	18	16	4	6	18	19	17
accessori	9	8	8	21	10	11	12	10	26	12
smaller	8	7	10	12	19	8	7	10	14	21
calendar	3	4	11	21	18	5	5	14	28	20
offic	8	7	10	15	17	8	7	11	17	19
push	7	16	12	13	9	7	17	15	14	9
blue	10	6	11	20	9	11	6	12	24	9
protect	8	6	13	16	14	8	6	15	18	16
setup	4	5	8	22	18	4	5	8	25	22
pop	6	12	9	17	14	6	12	11	18	15
error	15	15	14	12	2	23	18	20	12	2
luck	20	12	10	12	4	20	13	11	12	4
stick	9	17	6	16	10	11	19	6	16	10
